sample_id,sample_type,longitude,latitude,elevation_m,slope_deg,lulc_class,lulc_class_name
BG_189,background,93.781447,27.3427,1027.11,21.01,10,Tree cover
BG_190,background,93.414737,27.005441,301.93,33.0,10,Tree cover
BG_191,background,93.617728,27.24304,1376.56,30.18,10,Tree cover
BG_192,background,93.269627,27.272311,2411.2,13.43,10,Tree cover
BG_193,background,93.443296,27.116945,856.86,34.38,10,Tree cover
BG_194,background,93.406394,27.539568,1954.22,24.69,10,Tree cover
BG_195,background,93.675554,27.234648,939.38,20.56,10,Tree cover
BG_196,background,93.43381,27.011613,362.22,30.17,10,Tree cover
BG_197,background,93.928285,27.348843,522.52,25.97,10,Tree cover
BG_198,background,93.405475,27.204543,1157.71,30.9,10,Tree cover
BG_199,background,93.605536,27.173758,1361.27,34.78,10,Tree cover
BG_200,background,93.805028,27.290296,666.88,35.75,10,Tree cover
BG_201,background,93.660736,27.085214,183.82,7.9,10,Tree cover
BG_202,background,93.279236,27.598382,3380.94,35.52,10,Tree cover
BG_203,background,93.744804,27.260026,707.85,12.91,10,Tree cover
BG_204,background,93.764692,27.065457,252.1,26.34,10,Tree cover
BG_205,background,93.560195,27.129798,792.22,37.33,10,Tree cover
BG_206,background,93.624459,27.308823,1852.11,24.55,10,Tree cover
BG_207,background,93.80945,27.147271,157.54,3.18,10,Tree cover
BG_208,background,93.850468,27.206611,188.53,8.64,10,Tree cover
BG_209,background,93.709262,27.054914,386.52,34.26,10,Tree cover
BG_210,background,93.410391,27.552286,1984.7,35.05,10,Tree cover
BG_211,background,93.523777,27.561655,1880.93,33.03,10,Tree cover
BG_212,background,93.45118,27.495285,1992.79,14.81,10,Tree cover
BG_213,background,93.495277,27.440697,1914.92,14.27,10,Tree cover
BG_214,background,93.4233,27.11186,1215.42,34.2,10,Tree cover
BG_215,background,93.415359,27.010315,177.42,1.81,10,Tree cover
BG_216,background,94.072621,27.408743,241.7,4.4,10,Tree cover
BG_217,background,93.481074,27.103549,664.71,22.93,10,Tree cover
BG_218,background,93.317336,27.527613,3186.56,21.47,10,Tree cover
BG_219,background,93.585017,26.954729,108.54,1.17,40,Cropland
BG_220,background,93.955959,27.357594,306.82,30.94,10,Tree cover
BG_221,background,93.997186,27.422573,1343.71,35.23,10,Tree cover
BG_222,background,93.344243,27.582799,3118.95,20.85,10,Tree cover
BG_223,background,93.702369,27.258891,1240.76,26.79,10,Tree cover
BG_224,background,93.710819,27.109887,159.7,1.47,50,Built-up
BG_225,background,93.681775,27.261159,933.7,30.65,10,Tree cover
BG_226,background,93.324368,27.230755,1196.3,18.82,10,Tree cover
BG_227,background,93.589066,27.093658,293.07,8.89,10,Tree cover
BG_228,background,93.332181,27.106417,804.18,16.92,10,Tree cover
BG_229,background,93.666261,27.04727,359.47,24.82,10,Tree cover
BG_230,background,93.388133,27.617079,2975.85,32.22,10,Tree cover
BG_231,background,93.326998,27.197435,1578.06,35.79,10,Tree cover
BG_232,background,93.911409,27.472991,2674.03,25.18,10,Tree cover
BG_233,background,93.920137,27.500286,2530.46,28.43,10,Tree cover
BG_234,background,93.418919,27.073142,1277.29,30.8,10,Tree cover
BG_235,background,93.649718,27.063598,241.03,23.83,10,Tree cover
BG_236,background,93.494859,27.414969,2017.4,21.45,10,Tree cover
BG_237,background,93.7659,27.109598,272.82,10.18,10,Tree cover
BG_238,background,93.7206,27.313236,1813.6,15.75,10,Tree cover
BG_239,background,93.732549,27.100567,305.94,7.74,10,Tree cover
BG_240,background,93.70167,27.195789,1054.04,36.86,10,Tree cover
BG_241,background,93.588237,27.108829,552.61,29.26,10,Tree cover
BG_242,background,93.615801,27.001997,217.91,16.14,10,Tree cover
BG_243,background,93.707226,27.067925,398.87,25.0,10,Tree cover
BG_244,background,94.068117,27.476751,1047.76,34.68,10,Tree cover
BG_245,background,94.05502,27.37665,257.4,23.49,10,Tree cover
BG_246,background,93.596449,27.059229,256.05,25.3,10,Tree cover
BG_247,background,93.315752,27.183918,1619.98,12.87,10,Tree cover
BG_248,background,93.623244,27.25412,1310.98,7.59,10,Tree cover
BG_249,background,93.410158,27.159839,1545.42,7.31,10,Tree cover
BG_250,background,93.89686,27.401047,567.86,29.6,10,Tree cover
BG_251,background,93.384847,27.371982,2729.55,6.24,10,Tree cover
BG_252,background,93.270825,27.141218,1147.97,11.39,10,Tree cover
BG_253,background,93.547314,27.405023,1137.7,26.26,10,Tree cover
BG_254,background,93.297665,27.215918,1639.6,31.58,10,Tree cover
BG_255,background,93.342658,27.463906,3069.92,13.15,10,Tree cover
BG_256,background,93.281377,27.123592,863.39,22.66,10,Tree cover
BG_257,background,93.805012,27.28813,695.75,32.39,10,Tree cover
BG_258,background,93.337185,27.059548,692.77,30.91,10,Tree cover
